"code","date","value","uname","tcode"
"PNADCA_PCT25FMEUF",2016-01-01,13.4,"Brazil",0
"PNADCA_PCT25FMEUF",2017-01-01,13.2,"Brazil",0
"PNADCA_PCT25FMEUF",2018-01-01,12.9,"Brazil",0
"PNADCA_PCT25FMEUF",2019-01-01,12.8,"Brazil",0
"PNADCA_PCT25FMEUF",2022-01-01,12.8,"Brazil",0
"PNADCA_PCT25FMEUF",2023-01-01,12.5,"Brazil",0
"PNADCA_PCT25FMEUF",2024-01-01,12.3,"Brazil",0
"PNADCA_PCT25FMEUF",2016-01-01,13,"Regions",1
"PNADCA_PCT25FMEUF",2017-01-01,13.1,"Regions",1
"PNADCA_PCT25FMEUF",2018-01-01,12.6,"Regions",1
"PNADCA_PCT25FMEUF",2019-01-01,12.4,"Regions",1
"PNADCA_PCT25FMEUF",2022-01-01,12.3,"Regions",1
"PNADCA_PCT25FMEUF",2023-01-01,12.3,"Regions",1
"PNADCA_PCT25FMEUF",2024-01-01,12.1,"Regions",1
"PNADCA_PCT25FMEUF",2016-01-01,11.7,"Regions",2
"PNADCA_PCT25FMEUF",2017-01-01,11.5,"Regions",2
"PNADCA_PCT25FMEUF",2018-01-01,11.4,"Regions",2
"PNADCA_PCT25FMEUF",2019-01-01,11.3,"Regions",2
"PNADCA_PCT25FMEUF",2022-01-01,12,"Regions",2
"PNADCA_PCT25FMEUF",2023-01-01,11.6,"Regions",2
"PNADCA_PCT25FMEUF",2024-01-01,11.8,"Regions",2
"PNADCA_PCT25FMEUF",2016-01-01,13.8,"Regions",3
"PNADCA_PCT25FMEUF",2017-01-01,13.7,"Regions",3
"PNADCA_PCT25FMEUF",2018-01-01,13.2,"Regions",3
"PNADCA_PCT25FMEUF",2019-01-01,13.2,"Regions",3
"PNADCA_PCT25FMEUF",2022-01-01,12.7,"Regions",3
"PNADCA_PCT25FMEUF",2023-01-01,12.5,"Regions",3
"PNADCA_PCT25FMEUF",2024-01-01,12.2,"Regions",3
"PNADCA_PCT25FMEUF",2016-01-01,15.1,"Regions",4
"PNADCA_PCT25FMEUF",2017-01-01,15,"Regions",4
"PNADCA_PCT25FMEUF",2018-01-01,14.8,"Regions",4
"PNADCA_PCT25FMEUF",2019-01-01,14.7,"Regions",4
"PNADCA_PCT25FMEUF",2022-01-01,14.8,"Regions",4
"PNADCA_PCT25FMEUF",2023-01-01,14.3,"Regions",4
"PNADCA_PCT25FMEUF",2024-01-01,13.6,"Regions",4
"PNADCA_PCT25FMEUF",2016-01-01,13.9,"Regions",5
"PNADCA_PCT25FMEUF",2017-01-01,13.1,"Regions",5
"PNADCA_PCT25FMEUF",2018-01-01,13.1,"Regions",5
"PNADCA_PCT25FMEUF",2019-01-01,12.7,"Regions",5
"PNADCA_PCT25FMEUF",2022-01-01,13,"Regions",5
"PNADCA_PCT25FMEUF",2023-01-01,12.5,"Regions",5
"PNADCA_PCT25FMEUF",2024-01-01,12.5,"Regions",5
"PNADCA_PCT25FMEUF",2016-01-01,14,"States",11
"PNADCA_PCT25FMEUF",2017-01-01,13.8,"States",11
"PNADCA_PCT25FMEUF",2018-01-01,13.8,"States",11
"PNADCA_PCT25FMEUF",2019-01-01,12.7,"States",11
"PNADCA_PCT25FMEUF",2022-01-01,12.3,"States",11
"PNADCA_PCT25FMEUF",2023-01-01,13.6,"States",11
"PNADCA_PCT25FMEUF",2024-01-01,11.6,"States",11
"PNADCA_PCT25FMEUF",2016-01-01,11.9,"States",12
"PNADCA_PCT25FMEUF",2017-01-01,12.1,"States",12
"PNADCA_PCT25FMEUF",2018-01-01,11.7,"States",12
"PNADCA_PCT25FMEUF",2019-01-01,11.6,"States",12
"PNADCA_PCT25FMEUF",2022-01-01,11.1,"States",12
"PNADCA_PCT25FMEUF",2023-01-01,11.6,"States",12
"PNADCA_PCT25FMEUF",2024-01-01,11.7,"States",12
"PNADCA_PCT25FMEUF",2016-01-01,12,"States",13
"PNADCA_PCT25FMEUF",2017-01-01,11.1,"States",13
"PNADCA_PCT25FMEUF",2018-01-01,10.7,"States",13
"PNADCA_PCT25FMEUF",2019-01-01,10.7,"States",13
"PNADCA_PCT25FMEUF",2022-01-01,11.3,"States",13
"PNADCA_PCT25FMEUF",2023-01-01,10.5,"States",13
"PNADCA_PCT25FMEUF",2024-01-01,9.8,"States",13
"PNADCA_PCT25FMEUF",2016-01-01,10.8,"States",14
"PNADCA_PCT25FMEUF",2017-01-01,11.6,"States",14
"PNADCA_PCT25FMEUF",2018-01-01,10.9,"States",14
"PNADCA_PCT25FMEUF",2019-01-01,10.7,"States",14
"PNADCA_PCT25FMEUF",2022-01-01,11.5,"States",14
"PNADCA_PCT25FMEUF",2023-01-01,12.9,"States",14
"PNADCA_PCT25FMEUF",2024-01-01,12.2,"States",14
"PNADCA_PCT25FMEUF",2016-01-01,13.8,"States",15
"PNADCA_PCT25FMEUF",2017-01-01,14.4,"States",15
"PNADCA_PCT25FMEUF",2018-01-01,13.8,"States",15
"PNADCA_PCT25FMEUF",2019-01-01,13.4,"States",15
"PNADCA_PCT25FMEUF",2022-01-01,13.4,"States",15
"PNADCA_PCT25FMEUF",2023-01-01,13.2,"States",15
"PNADCA_PCT25FMEUF",2024-01-01,13.7,"States",15
"PNADCA_PCT25FMEUF",2016-01-01,11.5,"States",16
"PNADCA_PCT25FMEUF",2017-01-01,13.7,"States",16
"PNADCA_PCT25FMEUF",2018-01-01,11.7,"States",16
"PNADCA_PCT25FMEUF",2019-01-01,12.5,"States",16
"PNADCA_PCT25FMEUF",2022-01-01,11,"States",16
"PNADCA_PCT25FMEUF",2023-01-01,9.9,"States",16
"PNADCA_PCT25FMEUF",2024-01-01,10.6,"States",16
"PNADCA_PCT25FMEUF",2016-01-01,12,"States",17
"PNADCA_PCT25FMEUF",2017-01-01,10.6,"States",17
"PNADCA_PCT25FMEUF",2018-01-01,10.4,"States",17
"PNADCA_PCT25FMEUF",2019-01-01,11.2,"States",17
"PNADCA_PCT25FMEUF",2022-01-01,10.1,"States",17
"PNADCA_PCT25FMEUF",2023-01-01,11.2,"States",17
"PNADCA_PCT25FMEUF",2024-01-01,10.6,"States",17
"PNADCA_PCT25FMEUF",2016-01-01,12.6,"States",21
"PNADCA_PCT25FMEUF",2017-01-01,12.6,"States",21
"PNADCA_PCT25FMEUF",2018-01-01,12.8,"States",21
"PNADCA_PCT25FMEUF",2019-01-01,12.7,"States",21
"PNADCA_PCT25FMEUF",2022-01-01,13.1,"States",21
"PNADCA_PCT25FMEUF",2023-01-01,12.6,"States",21
"PNADCA_PCT25FMEUF",2024-01-01,12.9,"States",21
"PNADCA_PCT25FMEUF",2016-01-01,12.3,"States",22
"PNADCA_PCT25FMEUF",2017-01-01,12.5,"States",22
"PNADCA_PCT25FMEUF",2018-01-01,12.6,"States",22
"PNADCA_PCT25FMEUF",2019-01-01,11.8,"States",22
"PNADCA_PCT25FMEUF",2022-01-01,11.2,"States",22
"PNADCA_PCT25FMEUF",2023-01-01,10.9,"States",22
"PNADCA_PCT25FMEUF",2024-01-01,11.7,"States",22
"PNADCA_PCT25FMEUF",2016-01-01,14.2,"States",23
"PNADCA_PCT25FMEUF",2017-01-01,13.4,"States",23
"PNADCA_PCT25FMEUF",2018-01-01,13.6,"States",23
"PNADCA_PCT25FMEUF",2019-01-01,13.1,"States",23
"PNADCA_PCT25FMEUF",2022-01-01,13.4,"States",23
